StartTime,RTT
707.856,0.018
707.895,0.014
707.93,0.016
707.966,0.017
708.004,0.017
708.041,0.017
708.079,0.015
708.114,0.018
708.152,0.015
708.188,0.016
708.224,0.017
708.262,0.018
708.301,0.014
708.336,0.014
708.371,0.014
708.405,-1
709.425,0.014
709.46,0.018
709.498,0.016
709.534,0.015
709.569,-1
710.589,0.015
710.625,0.015
710.66,0.014
710.695,0.018
710.733,0.017
710.771,0.015
710.807,-1
711.827,0.017
711.864,0.018
711.903,0.014
711.938,0.017
711.975,0.015
712.011,0.014
712.046,0.015
712.081,0.017
712.119,0.018
712.157,0.015
712.193,0.015
712.229,0.015
712.265,0.017
712.302,0.016
712.338,0.014
712.373,0.015
712.408,0.016
712.445,0.015
712.481,0.016
712.518,0.015
712.554,0.015
712.589,0.017
712.627,0.016
712.664,0.016
712.7,0.015
712.736,0.038
712.794,0.017
712.832,0.017
712.87,0.016
712.907,0.016
712.944,0.018
712.983,0.018
713.022,0.018
713.06,0.017
713.097,0.018
713.136,0.017
713.173,0.016
713.21,0.014
713.244,-1
714.264,0.018
714.302,0.014
714.337,0.014
714.372,0.018
714.41,0.014
714.444,0.016
714.481,0.016
714.517,0.014
714.552,0.017
714.59,0.017
714.627,0.018
714.666,0.014
714.701,0.016
714.737,0.018
714.776,0.014
714.81,0.014
714.845,0.017
714.882,0.017
714.919,0.015
714.955,-1
715.975,-1
716.995,0.015
717.031,0.018
717.069,0.014
717.103,0.015
717.139,0.014
717.173,0.018
717.211,0.018
717.25,0.018
717.289,0.016
717.325,0.015
717.361,0.016
717.397,0.014
717.431,0.017
717.469,0.017
717.506,0.017
717.543,0.017
717.58,0.015
717.616,0.015
717.652,0.015
717.688,0.016
717.724,0.015
717.76,0.014
717.794,0.015
717.829,0.017
717.866,0.016
717.903,-1
718.923,0.016
718.96,0.016
718.997,0.015
719.033,0.016
719.069,0.016
719.106,0.194
719.32,0.016
719.356,0.018
719.394,0.016
719.431,0.017
719.469,0.017
719.507,0.015
719.543,0.018
719.581,0.016
719.618,0.017
719.655,0.014
719.69,0.018
719.729,0.016
719.765,0.018
719.804,0.015
719.84,0.018
719.879,0.015
719.914,-1
720.934,0.017
720.972,0.016
721.008,0.016
721.045,0.017
721.082,0.015
721.118,0.014
721.153,0.018
721.191,0.014
721.226,0.018
721.265,0.017
721.302,0.018
721.341,0.014
721.375,0.015
721.411,0.014
721.446,0.014
721.48,0.014
721.515,0.014
721.55,0.015
721.585,0.014
721.619,0.028
721.667,0.018
721.706,0.016
721.742,0.015
721.777,0.016
721.813,0.015
721.849,0.016
721.886,0.014
721.921,0.014
721.956,0.015
721.991,0.018
722.03,0.018
722.068,0.014
722.103,0.016
722.139,0.016
722.176,0.015
722.211,0.016
722.247,0.014
722.282,0.017
722.319,0.016
722.356,0.015
722.392,0.018
722.431,0.014
722.466,0.016
722.502,0.018
722.54,0.017
722.578,0.016
