StartTime,RTT
978.81722527,0.01524692
978.83724184,0.01741933
978.85732886,0.01698647
978.87738544,0.01543198
978.89747063,0.01593260
978.91749982,0.01388012
978.93758665,0.01418455
978.95768536,0.01459015
978.97775874,0.01431453
978.99778504,0.01352073
979.01779706,0.01452781
979.03785615,0.01706640
979.05793566,0.02083999
979.07799927,0.01454164
979.09800928,0.01334882
979.11803200,0.01485965
979.13803230,0.01414792
979.15804729,0.01626535
979.17812312,0.01387215
979.19818619,0.01789655
979.21821525,0.01309180
979.23829935,0.01389061
979.25836968,0.01559465
979.27837743,0.01598014
979.29842383,0.01378869
979.31846819,0.01651578
979.33850935,0.01406143
979.35850987,0.01434863
979.37851920,0.01631910
979.39861530,0.01586594
979.41869057,0.01667807
979.43872979,0.01661468
979.45876314,0.01899264
979.47878623,0.01332905
979.49886342,0.01518836
979.51888536,0.01731931
979.53894016,0.04838418
979.55896175,0.01511885
979.57900488,0.01405594
979.59909929,0.01671961
979.61916969,0.01659688
979.63920369,0.01646015
979.65926941,0.01725487
979.67934770,0.01556556
979.69943642,0.01391390
979.71953305,0.01345107
979.73957259,0.01593859
979.75962789,0.01730995
979.77970268,0.01511634
979.79976132,0.01429856
979.81984324,0.01666207
979.83993390,0.01549230
979.86003332,0.01490376
979.88007020,0.01603702
979.90015999,0.01523170
979.92016604,0.01617939
979.94018971,0.01537659
979.96023525,0.01567110
979.98030504,0.01517377
980.00038890,0.01723371
980.02040522,0.01760336
980.04041074,0.01788971
980.06048813,0.01411617
980.08051555,0.01341041
980.10053947,0.01381271
980.12061056,0.01772198
980.14070244,0.01481136
980.16074411,0.01711861
980.18075175,0.01460736
980.20078174,0.01411494
980.22080040,0.01685935
980.24086215,0.01567025
980.26090729,0.01396940
980.28099616,0.01611267
980.30105853,0.01330432
980.32111229,0.01587083
980.34114794,0.01489964
980.36121423,0.01505665
980.38123586,0.21822547
980.40126798,0.01508265
980.42136521,0.10036902
980.44140983,0.01519359
980.46141413,0.01452778
980.48142093,0.01709815
980.50144305,0.01420734
980.52149803,0.01717784
980.54152552,0.01301258
980.56154831,0.01427828
980.58160562,0.01366036
980.60161437,0.01717930
980.62163472,0.07985285
980.64169741,0.01544525
980.66179446,0.01574254
980.68184230,0.01342411
980.70193071,0.01516701
980.72196285,0.01652595
980.74198568,0.01580595
980.76205347,0.01656429
980.78214271,0.01743164
980.80221524,0.01608666
980.82223804,0.01773853
980.84229078,0.01607884
980.86231050,0.01493486
980.88240643,0.01799495
980.90246122,0.01356617
980.92256112,0.01737295
980.94260694,0.01767201
980.96268913,0.01797853
980.98277206,0.01472840
981.00278585,0.01484699
981.02287033,0.01730153
981.04289099,0.01329471
981.06291291,0.65588936
981.08296708,0.01375125
981.10300275,0.01773982
981.12309949,0.01401828
981.14310321,0.01540517
981.16311589,0.01335867
981.18315841,0.01548452
981.20321474,0.01665180
981.22324122,0.01504949
981.24326787,0.01769322
981.26332482,0.01451780
981.28338226,0.01562989
981.30343825,0.01336803
981.32347373,0.01791604
981.34348327,0.01617251
981.36356859,0.01843497
981.38364580,0.01635467
981.40365891,0.01742425
981.42370917,0.01785252
981.44379584,0.01508494
981.46386628,0.01686130
981.48395527,0.01648005
981.50401136,0.01770289
981.52401712,0.01653755
981.54409055,0.02599573
981.56414445,0.01633824
981.58423451,0.05041986
981.60431034,0.06016455
981.62439998,0.01683931
981.64448606,0.01389835
981.66456973,0.02217180
981.68457015,0.01522536
981.70462080,0.01568630
981.72466673,0.01448716
981.74469225,0.01624689
981.76474721,0.01661372
981.78478649,0.01768924
981.80485064,0.12558185
981.82490501,0.01661189
981.84495358,0.01466748
981.86504619,0.01593346
981.88509445,0.01386416
981.90515255,0.01551839
981.92517504,0.01488530
981.94517664,0.01764505
981.96525118,0.01775359
981.98526106,0.01423370
982.00527873,0.01791316
982.02532191,0.01643715
982.04541264,0.01654616
982.06550627,0.01686695
982.08554819,0.01648415
982.10563704,0.01467777
982.12564033,0.01419338
982.14568439,0.01343471
982.16572623,0.01593399
982.18580278,0.01479464
982.20585735,0.01795468
982.22590435,0.01643099
982.24599891,-1.00000000
982.26605325,0.01331136
982.28608126,0.01397906
982.30608598,0.01673154
982.32608891,0.01649675
982.34609871,0.01692300
982.36617659,0.01741061
982.38626307,0.01465928
982.40632115,0.01505985
982.42637027,0.01593118
982.44641007,0.01407663
982.46644441,0.01683224
982.48653443,0.01327191
982.50656628,0.01458071
982.52661518,0.01383826
982.54667477,0.01527193
982.56668702,0.01501328
982.58671013,0.02801975
